filepath,split,width,height,brightness_median_v,n_objects,min_minor_side,object_size_tercile,brightness_tercile,is_atypical_resolution,is_low_light_below_threshold,is_multi_object,has_defect,bboxes_json
test/img/00031.jpg,test,1280,720,119.0,1,52.0,T1_low,T1_low,False,False,False,False,"[{""xmin"": 572, ""ymin"": 338, ""xmax"": 705, ""ymax"": 390}]"
test/img/00078.jpg,test,1280,720,213.0,1,85.0,T2_mid,T3_high,False,False,False,True,"[{""xmin"": 1095, ""ymin"": 374, ""xmax"": 1281, ""ymax"": 459}]"
test/img/00082.jpg,test,1280,720,136.0,1,57.0,T1_low,T1_low,False,False,False,False,"[{""xmin"": 541, ""ymin"": 263, ""xmax"": 691, ""ymax"": 320}]"
test/img/00123.jpg,test,1280,720,131.0,2,74.0,T2_mid,T1_low,False,False,True,False,"[{""xmin"": 569, ""ymin"": 284, ""xmax"": 978, ""ymax"": 491}, {""xmin"": 371, ""ymin"": 1, ""xmax"": 630, ""ymax"": 75}]"
test/img/00135.jpg,test,1280,720,149.0,1,43.0,T1_low,T2_mid,False,False,False,False,"[{""xmin"": 762, ""ymin"": 311, ""xmax"": 846, ""ymax"": 354}]"
test/img/00182.jpg,test,1280,720,194.0,1,136.0,T3_high,T3_high,False,False,False,False,"[{""xmin"": 642, ""ymin"": 184, ""xmax"": 912, ""ymax"": 320}]"
test/img/00212.jpg,test,1280,720,180.0,1,64.0,T2_mid,T2_mid,False,False,False,False,"[{""xmin"": 560, ""ymin"": 434, ""xmax"": 694, ""ymax"": 498}]"
test/img/00232.jpg,test,1280,720,125.0,1,83.0,T2_mid,T1_low,False,False,False,False,"[{""xmin"": 579, ""ymin"": 233, ""xmax"": 750, ""ymax"": 316}]"
test/img/00239.jpg,test,1280,720,104.0,2,26.0,T1_low,T1_low,False,False,True,False,"[{""xmin"": 562, ""ymin"": 243, ""xmax"": 679, ""ymax"": 303}, {""xmin"": 189, ""ymin"": 231, ""xmax"": 257, ""ymax"": 257}]"
test/img/00265.jpg,test,1280,720,177.0,1,43.0,T1_low,T2_mid,False,False,False,False,"[{""xmin"": 415, ""ymin"": 146, ""xmax"": 495, ""ymax"": 189}]"
test/img/00358.jpg,test,1280,720,254.0,1,40.0,T1_low,T3_high,False,False,False,False,"[{""xmin"": 666, ""ymin"": 385, ""xmax"": 712, ""ymax"": 425}]"
