sample_id,exported_filename,source,split
a2f6830260fc2cdb25c3cb119f3653fa930a7baf9accbf2e7ef0c9270ecdada9,gold_0001.jpg,visdrone,train
e0e8721b0578c41d51e8661b3a7ce966077ebc3150771d0d9db72bf79802a84d,gold_0002.jpg,visdrone,val
adbbc72ceb24c9c245c7a16fe670b51de02a6866a5d9f1b243cb32675830327a,gold_0003.jpg,visdrone,train
46b377506473aa107799d5b12618bfc2a8d9b65b03012ef7742b8ee9131a1797,gold_0004.jpg,visdrone,train
d8e97220717eadd51925a28d197d2bae686f940763f84230d29281d51fe06d78,gold_0005.jpg,visdrone,train
be6ec3a20d1970540dc1811de40acbf29a6ed4a89fbf8e45f1db893b85058c7c,gold_0006.jpg,visdrone,train
e24d2798b085ed8946241dcff8fcb71ba349d4d445027ca16e553c19946765b7,gold_0007.jpg,visdrone,train
838b71362fd5c72f5005e96ee2cdf7186f5545eeea6dec071f4787b1b4aa317b,gold_0008.jpg,visdrone,test
9d5f31c4c087240c78c58c427bec05441fcee79b2e2692361875e2a28894269f,gold_0009.jpg,visdrone,train
a5461c291b65c8b3f591b69142c0693abf77fe6b451a65e6b161389cf28d3a6f,gold_0010.jpg,visdrone,train
07c3f05b6a5310f2eb2237b4205d18ba5bb4a00d3d265d70066db6d50166f8ad,gold_0011.jpg,visdrone,val
d4b794aef2c297908d93656b2fe4f268f15e271687e9af5bf330f9d54e0f58c9,gold_0012.jpg,visdrone,train
205253a642e509f6851dde92dc08a6c45caf40d1ce6b258379b7ba8d9712fcb6,gold_0013.jpg,visdrone,train
aa146688a46c4c7e1a27ad8f0a4790211e7794cb20c1264cbb45add781ee57db,gold_0014.jpg,visdrone,train
26b30cca6507b719f20f7c86ad3008271f5e5414fe17fd64de9c7302c4a794c2,gold_0015.jpg,visdrone,train
67a35d7ce01ce2413a65ca4985089c7bd90f0a149a4c1d81a259cd92a64cb855,gold_0016.jpg,visdrone,val
8fee236bbe925dd200fd4b667b670be5ad2c46145b1e46557293034242b89528,gold_0017.jpg,visdrone,train
51f27c41cea53b61baa511d3798257d7e1b434c42ded5ce7cf8947c127c22af0,gold_0018.jpg,visdrone,train
87bdb0769642407a9977dc11b99c89a9c3ae4bd18a7ba2867407c6dac8ca4f94,gold_0019.jpg,visdrone,test
fe7c14394b24e969936c046ce0993a724694e1a2c05c459e0a99d8ed08452330,gold_0020.jpg,visdrone,val
558d2ec5cea982aba134cf3945cee1961726e685509c136c304d973e84e8af61,gold_0021.jpg,visdrone,train
5f72389c9cd6a35f088cb478e78c8dc6e355d2e901b6eda8690105068658fe5c,gold_0022.jpg,visdrone,train
eb02eae53772c25cdea84dcd6f1b80084d84f3d5c4e7792895c3e5f84828d3cc,gold_0023.jpg,visdrone,train
b9e92d6a69d8969b1deabeca27141a40dd9bad419df31adeb590c6298916a481,gold_0024.jpg,visdrone,train
dc091e792fc14e33447d85698b28aa7f3bc2d3c557fa00eba36db803db8c01a2,gold_0025.jpg,visdrone,train
4c26b3ef7830d691db8d3047ac4dbbd2c9ccc601e4b0833b8acb2b3db0463a03,gold_0026.jpg,visdrone,test
b06b2af049bdf591f6f8ee72690d9ea3add9106c2b94884f394210aa3a791b06,gold_0027.jpg,visdrone,train
7df6a98d781d47ea2a549699749c5139997f1dad7fe380867022672be41caeb5,gold_0028.jpg,visdrone,train
3700d56c4a116ab29e67823c0b2369d73e7998c3af920d13ef527043804d7dad,gold_0029.jpg,visdrone,train
876e930dce4890cb03dfab02fb20e5b99f0069ee455e3c15cffe1d9b577d678e,gold_0030.jpg,visdrone,train
df3e4ad06dfaddc5e258ab1eb42dbdcbf1e0ab102b7c33e60a2b4c8b153388a0,gold_0031.jpg,roboflow-uav,train
f40189f224e027ef1d9bb1bc9cf68a1e1805ff39495e9b15f6ea64c7db229646,gold_0032.jpg,roboflow-uav,train
496be61ff2236d33c88deaa111a3eae2a027c83826f273dde4aef66a9e227d8c,gold_0033.jpg,roboflow-uav,train
f4753b274a4628a120f72db145ad876fc13a076f96b1a6c0af17a2a40c4b1cb7,gold_0034.jpg,roboflow-uav,train
9b32b788fcdbd9714967b586d1f05e2a2195c3c0750dffa27b8a884433447b64,gold_0035.jpg,roboflow-uav,train
4506d332f6cb44d2cf9bdc0488d4851f2a0660aa035971eea1d448cb2b6e463e,gold_0036.jpg,roboflow-uav,test
30c018f575d326197d995718889ceb4324a55e53cfd46eaba3f17f688fd38e33,gold_0037.jpg,roboflow-uav,train
22a21451f932518fc4f0452eccf3c77398da678bb7027820084c426b820089a1,gold_0038.jpg,roboflow-uav,train
451fb527752b9fa5edc2c65f272fc7ecfd0b68ceb89a017dd180dcbbe9acfb23,gold_0039.jpg,roboflow-uav,train
6d3eddb3dd904e04712a846dde628518ddccb4f4d31ddb3325c5e469f5990892,gold_0040.jpg,roboflow-uav,train
